ticker,name,market,locale,active,source_feed
I:BCH40RP,Cboe 40 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCH5RP,Cboe 5 Bitcoin Cash / USD RealPrice,indices,us,True,CboeGlobalIndicesCCCY
I:BCHM30N,Cboe Switzerland Mid Cap 30,indices,us,True,CboeGlobalIndicesCGI
I:BCHM30P,Cboe Switzerland Mid Cap 30,indices,us,True,CboeGlobalIndicesCGI
I:BDE40G,Cboe Germany 40 Gross Return,indices,us,True,CboeGlobalIndicesCGI
I:BDE40N,Cboe Germany 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDE40P,Cboe Germany 40,indices,us,True,CboeGlobalIndicesCGI
I:BDEA,Cboe MSCI EAFE 20-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BDEF,Cboe MSCI Emerging Markets 20-Delta BuyWrite Index,indices,us,True,CboeGlobalIndicesMSCI
I:BDEM50N,Cboe Germany Mid Cap 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDEM50P,Cboe Germany Mid Cap 50,indices,us,True,CboeGlobalIndicesCGI
I:BDES50N,Cboe Germany Small Cap 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDES50P,Cboe Germany Small Cap 50,indices,us,True,CboeGlobalIndicesCGI
I:BDK25N,Cboe Denmark 25 - net,indices,us,True,CboeGlobalIndicesCGI
I:BDK25P,Cboe Denmark 25,indices,us,True,CboeGlobalIndicesCGI
I:BEDOW,Dow Jones Belgium Index,indices,us,True,CMEMarketDataPlatformDowJones
I:BEDOWD,Dow Jones Belgium Index (USD),indices,us,True,CMEMarketDataPlatformDowJones
I:BEP50N,Cboe Europe 50 - net,indices,us,True,CboeGlobalIndicesCGI
I:BEP50P,Cboe Europe 50,indices,us,True,CboeGlobalIndicesCGI
I:BEPACN,Cboe Europe All Companies - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPACP,Cboe Europe All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BEPBUS,Cboe Europe Business Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPBUSN,Cboe Europe Business Services Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPCNC,Cboe Europe Consumer Non Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPCNCN,Cboe Europe Consumer Non-Cyclicals,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONC,Cboe Europe Consumer Cyclicals Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONCN,Cboe Europe Consumer Cyclicals Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONS,Cboe Europe Consumer Services Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPCONSN,Cboe Europe Consumer Services Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPENGY,Cboe Europe Energy Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPENGYN,Cboe Europe Energy Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPFIN,Cboe Europe Finance Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPFINN,Cboe Europe Finance Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPHLTH,Cboe Europe Healthcare Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPHLTHN,Cboe Europe Healthcare Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPIND,Cboe Europe Industrials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPINDN,Cboe Europe Industrials Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPNEM,Cboe Europe Non Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPNEMN,Cboe Europe Non-Energy Materials Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPTEC,Cboe Europe Technology Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPTECN,Cboe Europe Technology Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPTEL,Cboe Europe Telecommunications Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPTELN,Cboe Europe Telecommunications Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPUTL,Cboe Europe Utilities Sector,indices,us,True,CboeGlobalIndicesCGI
I:BEPUTLN,Cboe Europe Utilities Sector - net,indices,us,True,CboeGlobalIndicesCGI
I:BEPXUKN,Cboe Europe All Companies ex UK,indices,us,True,CboeGlobalIndicesCGI
I:BEPXUKP,Cboe Europe All Companies ex UK,indices,us,True,CboeGlobalIndicesCGI
I:BES35N,Cboe Spain 35 - net,indices,us,True,CboeGlobalIndicesCGI
I:BES35P,Cboe Spain 35,indices,us,True,CboeGlobalIndicesCGI
I:BETEIV,BITCOIN & ETHER EQUAL WEIGHT STRATEGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BETHIV,BITCOIN & ETHER MARKET CAP WEIGHT STRATEGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BEWELL,Nasdaq CTA Global Digital Health Index,indices,us,True,NasdaqGIDS
I:BEWELLAU,Nasdaq CTA Global Digital Health AUD Index,indices,us,True,NasdaqGIDS
I:BEWELLAUNR,Nasdaq CTA Global Digital Health Net Total Return AUD Index,indices,us,True,NasdaqGIDS
I:BEWELLAUTR,Nasdaq CTA Global Digital Health Gross Total Return AUD Index,indices,us,True,NasdaqGIDS
I:BEWELLNR,Nasdaq CTA Global Digital Health Net Total Return Index,indices,us,True,NasdaqGIDS
I:BEWELLTR,Nasdaq CTA Global Digital Health Gross Total Return Index,indices,us,True,NasdaqGIDS
I:BEZ50N,Cboe Eurozone 50,indices,us,True,CboeGlobalIndicesCGI
I:BEZ50P,Cboe Eurozone 50,indices,us,True,CboeGlobalIndicesCGI
I:BEZACN,Cboe Eurozone All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BEZACP,Cboe Eurozone All Companies,indices,us,True,CboeGlobalIndicesCGI
I:BFI25N,Cboe Finland 25,indices,us,True,CboeGlobalIndicesCGI
I:BFI25P,Cboe Finland 25,indices,us,True,CboeGlobalIndicesCGI
I:BFLY,Cboe S&P 500 Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMain
I:BFLYEA,Cboe MSCI EAFE Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMSCI
I:BFLYEF,Cboe MSCI Emerging Markets Iron Butterfly Index,indices,us,True,CboeGlobalIndicesMSCI
I:BFR40N,Cboe France 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BFR40P,Cboe France 40,indices,us,True,CboeGlobalIndicesCGI
I:BFRM20N,Cboe France Mid Cap 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BFRM20P,Cboe France Mid Cap 20,indices,us,True,CboeGlobalIndicesCGI
I:BIBIV,PROSHARES ULTRA NASDAQ BIOTECHNOLOGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BIE20N,Cboe Ireland 20 - net,indices,us,True,CboeGlobalIndicesCGI
I:BIE20P,Cboe Ireland 20,indices,us,True,CboeGlobalIndicesCGI
I:BISIV,PROSHARES ULTRASHORT NASDAQ BIOTECHNOLOGY ETF,indices,us,True,CboeGlobalIndicesINAV
I:BIT40N,Cboe Italy 40 - net,indices,us,True,CboeGlobalIndicesCGI
I:BIT40P,Cboe Italy 40,indices,us,True,CboeGlobalIndicesCGI
I:BITIIV,ProShares Short Bitcoin Strategy ETF,indices,us,True,CboeGlobalIndicesINAV
I:BITOIV,ProShares Bitcoin Strategy ETF,indices,us,True,CboeGlobalIndicesINAV
I:BKX,KBW Nasdaq Bank Index,indices,us,True,NasdaqGIDS
